id	productname
1	Quà tặng Gia vị kho thịt Cholimex gói 50g
2	QUÀ TẶNG (ĐẶC SẢN BA VÌ) Thùng 12 hũ Sữa chua Mix Vị Ngẫu Nhiên Bavicow hũ 100gr
3	[mua chung ] Thùng 12 lốc Sữa chua ông Hiếu có đường hộp 90gr
4	Quà tặng Mì Hảo Hảo tôm chua cay Ace Cook gói 75gr
5	Lốc 4 chai sữa chua uống Probi ít đường 130ml
6	[CỰC RẺ] Trà Mật Ong Vị Tắc Boncha chai 450ml
7	Lốc 4 chai Sữa chua uống Vinamilk Probi có đường chai 130ml
8	[CỰC RẺ] Lốc 4 chai sữa chua uống Probi vị việt quất 130ml
9	(MUA CHUNG) Combo 4 túi gạo Tám thơm Điện Biên Trịnh Gia túi 5kg 
10	Bơ Hạt Phỉ Cacao Golden Farm lọ 170g
11	Combo 3 Hộp 2 hũ Yến sào cao cấp Queennest 25% hũ 150ml 
12	Bánh bao CP nhân thịt trứng cút gói 125gr
13	[Quà tặng] Combo 2 lon Yến lon Queennest 1% lon 190ml
14	Hộp 2 hũ Yến sào cao cấp Queennest 25% hũ 150ml 
15	Xịt Khoáng Evoluderm Dưỡng Ẩm Cấp Nước & Làm Dịu Da 150ml
16	TOP GIA Khăn ướt cao cấp loại 80 tờ không mùi
17	Lốc 3 hộp Sữa yến mạch vị nguyên bản OATSIDE 
18	Combo 5 gói Oppa Mì tôm chua cay Ottogi
19	Muối chấm Hảo Hảo tôm chua cay hũ 120gr
20	Combo 3 quả Bưởi hồng da xanh Hoàng Quý quả từ 1 - 1.3 kg/ quả
21	"SET 3 Hộp 150 Chiếc Tăm Nha Khoa ( chỉ nha khoa)  bảo vệ, Chăm Sóc Răng Miệng HTD"
22	Gà ta lai gà Hồ làm sạch túi nửa con từ 0.7-0.85 kg
23	Yến sào cao cấp Khánh Hòa Đông trùng hạ thảo Royal Hộp 6 lọ x 70ml
24	Hạt nêm Knorr thịt thăn xương ống và tủy gói 900gr (Tặng kẹp 1 gói hạt nêm Knorr 136g)
25	[MUA CHUNG] COMBO 5 GÓI Bánh Bauli Moonfils Strawberry gói 45gr
26	Lốc 4 hộp Sữa chua ăn có đường Ba vì đồng xanh hộp 100g
27	 [ LỐC 6 LON ] Nước Ngọt Pepsi lon x 320ml
28	[CỰC RẺ] Dầu đậu nành Simply chai 2L
29	Lốc 4 hộp sữa lúa mạch Milo UHT ÍT ĐƯỜNG hộp 180ml
30	Trà sữa trân châu thanh trùng Lothamilk chai 250ml
31	Sữa tươi trân châu đường đen thanh trùng Lothamilk 250ml
32	Trà sữa nướng trân châu thanh trùng Lothamilk 250ml
33	Hộp 6 lọ Nước Yến sào SalanestPro Đông trùng hạ thảo 39% lọ 70ml (6 lọ x 70ml)
34	Gạo Tám Thái Vinafoco - Ngọc Linh túi 5kg
35	Combo 5 cái Sữa Chua Dẻo Merino Phô Mai cái 50g
36	[QUÀ TẶNG] Sushi Cá Trích Ngâm Giấm Thực Phẩm Việt Khay 160g (8g x 20 miếng)
37	[DÙNG NGAY - Date 30/03/2025] Gà Ác Con (Tiềm) Long Khánh Con 160-180g
38	Băng Vệ Sinh Diana Siêu Thấm Siêu Mỏng Không Cánh (08 Miếng - 2008)
39	Bánh mì baguette Bonjour 210g
40	Giấy Ăn Rút Fairy Sen 270 Tờ 3 Lớp
41	"Khoai lang nhật túi từ 0.9-1 kg, hàng mới thu củ có bám đất"
42	(QUÀ TẶNG) Combo 2 gói Giấy rút Calla Tre gói 3 lớp *100 tờ
43	Combo 2 gói Giấy rút Calla Tre gói 3 lớp *100 tờ
44	Combo 5 cái Bánh mì tròn nhỏ Bonjour cái 40gr
45	Bánh mì tròn to Bonjour 454g
46	Sườn non heo giun quế Anfood khay 300gr+/-15gr
47	Sữa tiệt trùng Vinamilk 100% có đường hộp 1 lít
48	Xúc xích xông khói ANTA gói 500gr ( 100% làm từ thịt heo )
49	Bánh mì gối Bonjour 600g
50	Dầu gội chống gàu Selsun 5ml dây 10 gói
